action,maxCount,minCount,averageAmount,stdAmount,averageTime,stdTime,freq
CASH_IN,1,1,121136.63,0,720,30,0.07869
CASH_IN,2,2,101944.59,59537.83,550,15,0.03256
CASH_IN,3,3,108129.39,86582.83,360,10,0.01928
CASH_IN,4,4,91965.32,85176.53,800,45,0.01348
CASH_IN,5,9,87777.76,96453.9,1020,25,0.04352
CASH_IN,10,99,72111.89,109280.58,720,30,0.36453
CASH_IN,100,299,73228.2,125384.24,550,15,0.35864
CASH_IN,300,799,90330.96,161652.35,360,10,0.08657
CASH_IN,800,1499,120144.18,215191.42,800,45,0.00264
CASH_IN,1500,4999,65051.8,101197.32,1020,25,0.00009
CASH_OUT,1,1,65547.63,0,720,30,0.49649
CASH_OUT,2,2,69549.99,35030.76,550,15,0.23037
CASH_OUT,3,3,72851,48778.45,360,10,0.11437
CASH_OUT,4,4,77646.85,58970.61,800,45,0.0594
CASH_OUT,5,9,88133.19,75468.76,1020,25,0.07386
CASH_OUT,10,99,118107.22,123933.12,720,30,0.01678
CASH_OUT,100,299,77875,125699.79,550,15,0.00705
CASH_OUT,300,799,81103.09,141223.71,360,10,0.00166
CASH_OUT,800,1499,84557.16,158316.02,800,45,0.00003
DEBIT,1,1,1976.98,0,1020,25,0.64197
DEBIT,2,2,1542.23,386.6,720,30,0.1638
DEBIT,3,3,1608.57,605.66,550,15,0.06916
DEBIT,4,4,1772.27,779.09,360,10,0.03653
DEBIT,5,9,2830.88,1399.18,800,45,0.05778
DEBIT,10,99,2047.51,1350.27,1020,25,0.03021
DEBIT,100,299,1392.06,731.55,720,30,0.00042
DEBIT,10000,200000,2096.53,11344.42,550,15,0.00013
DEPOSIT,10000,200000,3273435.88,55547514.33,360,10,1
PAYMENT,1,1,2335.99,0,800,45,0.29392
PAYMENT,2,2,2252.28,1160.55,1020,25,0.15869
PAYMENT,3,3,2196.74,1548.54,720,30,0.10713
PAYMENT,4,4,2138.32,1761.19,550,15,0.07943
PAYMENT,5,9,2092.43,2018.36,360,10,0.30748
PAYMENT,10,99,1942.24,2350.24,800,45,0.05306
PAYMENT,100,299,1819.17,3490.51,1020,25,0.00028
PAYMENT,300,799,898.89,1779.32,720,30,0.00002
TRANSFER,1,1,65898.1,0,550,15,0.53248
TRANSFER,2,2,76741.79,39507.71,360,10,0.19408
TRANSFER,3,3,91898.09,62612.8,800,45,0.09332
TRANSFER,4,4,106291.08,80543.74,1020,25,0.05189
TRANSFER,5,9,153781.46,136010.43,720,30,0.08671
TRANSFER,10,99,287313.47,286424.17,720,30,0.04112
TRANSFER,100,299,751405.55,912376.26,550,15,0.00037
TRANSFER,300,799,1265876.84,1417984.63,360,10,0.00003
TRANSFER,800,1499,1326202.6,1215892.27,800,45,0.00001
TRANSFER,1500,4999,103783.5,188002.5,1020,25,0.00001